,n_topics,disaster_type,coherence_score
78,21,flood,-5.8713010098407965
79,21,hurricane,-4.7082852663947
80,22,earthquake,-8.241869179933538
81,22,fire,-6.016352629028457
82,22,flood,-5.8080568462008095
83,22,hurricane,-4.876917973499797
84,23,earthquake,-8.523251492979478
85,23,fire,-6.534425649350752
86,23,flood,-5.596479263115509
87,23,hurricane,-5.259813301740381
88,24,earthquake,-8.50519264089961
89,24,fire,-6.014272145001686
90,24,flood,-5.377282174360846
91,24,hurricane,-5.022563638531558
92,25,earthquake,-8.945653345125596
93,25,fire,-6.75688061216629
94,25,flood,-5.916246619028491
95,25,hurricane,-5.175608055084444
96,26,earthquake,-9.660305933494627
97,26,fire,-7.088491677114893
98,26,flood,-5.875257834523737
99,26,hurricane,-5.430146398720252
100,27,earthquake,-9.436511390548349
101,27,fire,-6.73868223409238
102,27,flood,-5.936455314119711
103,27,hurricane,-5.74601653715628
104,28,earthquake,-9.40528788700484
105,28,fire,-7.193070351037539
106,28,flood,-5.855896579248727
107,28,hurricane,-5.805525354949791
108,29,earthquake,-9.960415131871475
109,29,fire,-6.777263432681155
110,29,flood,-6.328107538238416
111,29,hurricane,-6.034087817435341
112,30,earthquake,-9.951761415056662
113,30,fire,-7.060696181063818
114,30,flood,-6.4726902838627565
115,30,hurricane,-6.008379375591986
116,31,earthquake,-9.987587379450726
117,31,fire,-7.867616857305392
118,31,flood,-6.521756171080075
119,31,hurricane,-5.9267102094814215
120,32,earthquake,-10.625639148929025
121,32,fire,-7.219980374638373
122,32,flood,-6.589897646104513
123,32,hurricane,-6.3231029791897635
124,33,earthquake,-10.852856727144994
125,33,fire,-7.419029728418976
126,33,flood,-7.048282803011274
127,33,hurricane,-6.226876138330591
128,34,earthquake,-10.308621667003626
129,34,fire,-7.338472662494576
130,34,flood,-6.448419382427724
131,34,hurricane,-6.141038784924781
132,35,earthquake,-11.044384362615203
133,35,fire,-7.863831916466358
134,35,flood,-6.969376297880041
135,35,hurricane,-6.642164573562343
136,36,earthquake,-10.679481680068712
137,36,fire,-8.099607005298445
138,36,flood,-7.084604635137952
139,36,hurricane,-6.6131334724218895
140,37,earthquake,-11.161791969983513
141,37,fire,-7.883028385669449
142,37,flood,-7.292809107780249
143,37,hurricane,-6.823972779739309
144,38,earthquake,-10.99072829253455
145,38,fire,-8.123782567203572
146,38,flood,-6.93730873075392
147,38,hurricane,-6.842451208935754
148,39,earthquake,-11.173913391564016
149,39,fire,-8.342268061121658
150,39,flood,-7.385599550042561
151,39,hurricane,-6.902045418649641
152,40,earthquake,-11.19299654094934
153,40,fire,-8.15691126798266
154,40,flood,-7.103479860270606
155,40,hurricane,-6.839062180325629
156,41,earthquake,-11.38987627430472
157,41,fire,-8.520088060494245
158,41,flood,-7.367591400857755
159,41,hurricane,-7.122613443712744
160,42,earthquake,-11.372269840850898
161,42,fire,-8.447990506534822
162,42,flood,-7.177503082338906
163,42,hurricane,-7.320688140084833
164,43,earthquake,-11.496842718750539
165,43,fire,-8.142943995140284
166,43,flood,-8.008015913927533
167,43,hurricane,-7.574016645738746
168,44,earthquake,-11.444021607486171
169,44,fire,-9.103740395593947
170,44,flood,-7.369859809250371
171,44,hurricane,-7.38812910575369
172,45,earthquake,-11.466124739295084
173,45,fire,-8.948778072759067
174,45,flood,-7.748332263564551
175,45,hurricane,-7.719301244099442
176,46,earthquake,-11.563991152979836
177,46,fire,-8.738425524738412
178,46,flood,-8.063759465171943
179,46,hurricane,-7.791511569425356
